fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
1,22689362,Aegolius funereus,1,1,1,"Ding, 2001; Ridgley, 2003; Cramp, 1997; Flint, 1984; del Hoyo et al 1999, Konig & Weick 2008, Brazil 2009; Hayward & Hayward, 1993; Xeno-canto 2021; Munro et al. 2016","Rob Martin, Richard Johnson (BirdLife International); Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,2289.984726,3544.680308
2,22689362,Aegolius funereus,1,1,3,"Cramp, 1997","Rob Martin, Richard Johnson (BirdLife International);",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,6.885176217,0.305903882
3,22687583,Amazilia beryllina,1,1,1,"Howell and Webb, 1995; Martin et al., 2016; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,73.88107947,59.07333115
4,22721135,Ammospiza leconteii,1,1,2,"Peterson, 1980; Peterson, 1990","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,510.170457,384.9611684
5,22721135,Ammospiza leconteii,1,1,3,"Peterson, 1980; Peterson, 1990; Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,177.074729,141.3040799
6,22721135,Ammospiza leconteii,1,1,4,"Sibley, 2000","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,83.78798033,135.604363
7,22721194,Amphispiza bilineata,1,1,1,"Sibley, 2000; Howell and Webb, 1995; Poole & Gill, 1992-2002; del Hoyo et al, 2011","NatureServe, 2005; Anna Motis (HBW)",2021,0, ,,,0,2022.1,2018,BirdLife International and Handbook of the Birds of the World,137.4084139,148.5151157
8,22721194,Amphispiza bilineata,1,1,2,"Sibley, 2000; Poole & Gill, 1992-2002","NatureServe, 2005",2021,0, ,,,0,2022.1,2015,BirdLife International and Handbook of the Birds of the World,90.86254756,87.61697179
9,22721194,Amphispiza bilineata,1,1,3,"eBird, 2020",Claudia Hermes (BirdLife International),2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,14.20791579,6.407768578
10,22721194,Amphispiza bilineata,1,1,4,"eBird, 2020",Claudia Hermes (BirdLife International),2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,9.914815267,3.586253222
11,22692109,Anthropoides paradiseus,1,1,1,BirdLife International; SABAP 2; Morrison et al. 2019,BirdLife International; Hannah Wheatley (BirdLife International); Rob Martin (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,84.17686133,52.46377588
12,22692109,Anthropoides paradiseus,1,1,5,BirdLife International; SABAP 2; Morrison et al. 2019,BirdLife International; Hannah Wheatley (BirdLife International); Rob Martin (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,7.848828464,0.618978394
13,22689522,Asio clamator,1,1,1,"Ridgely, 2002; eBird, 2021","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, , ,"See Olson (1995) for placing this species in Pseudoscops rather than Asio, where usually placed.",0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,468.2928757,785.7109592
14,22689507,Asio otus,1,1,2,"Cramp, 1997; del Hoyo et al, 1999; Poole and Gill, 1992; EBBA2 2021",Rob Martin (BirdLife International); Hannah Wheatley (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,1208.476825,1069.282109
15,22689507,Asio otus,1,1,1,"Flint, 1984; Ridgley, 2003; del Hoyo et al, 1999; Mackinnon & Phillipps, 2000, Ding, 2001; Fry, 1988; Cramp, 1997; Porter, 1996; Poole and Gill, 1992; eBird, 2013; Clarke, 2006; Ararat 2011",Rob Martin (BirdLife International); Hannah Wheatley (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,1989.998507,2478.128917
16,22689507,Asio otus,1,1,3,"Ridgley, 2003; Fry, 1988; del Hoyo et al, 1999; Mackinnon & Phillipps, 2000; Rasmussen & Anderton, 2004, Cramp, 1997; Poole and Gill, 1992-2002; eBird, 2013",Rob Martin (BirdLife International); Hannah Wheatley (BirdLife International),2021,0, , , ,0,2022.1,2018,BirdLife International and Handbook of the Birds of the World,1035.225262,746.0447479
17,22689507,Asio otus,1,1,5,"Brazil, 2009",Rob Martin (BirdLife International),2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,47.15282573,12.94610231
18,61695117,Buteo buteo,1,1,1,"Cramp, 1997; Hazevoet, 1995; Ding, 2001; G. Elias in litt. 2012; Muntaner & Reus 2015;","Rob Martin (BirdLife International), Joseph Everest (BirdLife International), Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,1073.846846,551.4510166
19,61695117,Buteo buteo,1,1,3,"Cramp, 1997; Balmer et al. 2013; Borrow & Demey, 2001; Borrow & Demey 2010; Dean, 2000; Nikolaus, 1987; Zimmerman et al. 1999; Redman et al. 2009; eBird 2021",Rob Martin (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,556.1953105,844.6415535
20,61695117,Buteo buteo,1,1,2,"Flint, 1984; Cramp, 1997;",Rob Martin (BirdLife International),2021,0, , , ,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,628.9122382,1030.412768
21,200273649,Campylopterus largipennis,1,1,1,"Ridgely, 2002; Lopes et al. 2017; GBIF.org 2021; WikiAves 2021","WWF-US, 2000; NatureServe, 2002; Donal Smith (BirdLife International); Hannah Wheatley (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,174.1613179,582.9274017
22,22721882,Cardellina canadensis,1,1,2,"Poole and Gill, 1992-2002","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,614.5687689,346.0788798
23,22721882,Cardellina canadensis,1,1,4,"Sibley, 2000; Howell and Webb, 1995; Stiles and Skutch, 1989; Zook, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,469.4890893,387.6929812
24,22721882,Cardellina canadensis,1,1,3,"Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,153.892102,103.8122655
25,22721879,Cardellina pusilla,1,1,2,"Poole and Gill, 1992-2002","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,1803.356712,1183.033022
26,22721879,Cardellina pusilla,1,1,3,"Ridgely and Gwynne, 1989; Zook, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,258.2207222,130.5066199
27,22721879,Cardellina pusilla,1,1,4,"Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,719.859123,934.9417195
28,22708643,Catharus frantzii,1,1,1,"Stiles and Skutch, 1989; Zook, 2002; Gallardo, 2014; Martin et al., 2016; eBird, 2018; XenoCanto, 2018","NatureServe, 2002; Anna Motis (HBW); Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,85.41571537,24.03173287
29,22708667,Catharus guttatus,1,1,4,"Sibley, 2000","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,195.4833978,304.5482848
30,22708667,Catharus guttatus,1,1,1,"Peterson, 1980; Peterson, 1990; Rappole et al., 1983","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,194.1893863,45.65082911
31,22708667,Catharus guttatus,1,1,3,"Poole and Gill, 1992-2002","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,488.2092854,405.3549825
32,22708667,Catharus guttatus,1,1,2,"Peterson, 1980; Peterson, 1990; Rappole et al., 1983","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,1750.890142,1049.778403
33,22708658,Catharus minimus,1,1,2,BirdLife International,"BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,984.0683788,876.2728259
34,22708658,Catharus minimus,1,1,4,"Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,1094.247136,923.9154505
35,22708658,Catharus minimus,1,1,3,"Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,214.7600428,380.2285832
36,22708658,Catharus minimus,3,1,4,"Raffaele et al., 1998","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,101.6819985,2.683707541
37,22708658,Catharus minimus,3,1,3,"Alaska Natural Heritage Program, 2007","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,7.978915074,0.183810253
38,22721191,Chondestes grammacus,1,1,4,"Howell and Webb, 1995","NatureServe, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,47.72193667,37.50611549
39,22721191,Chondestes grammacus,1,1,2,"Poole and Gill, 1992-2002","NatureServe, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,164.897494,464.6608774
40,22721191,Chondestes grammacus,1,1,1,"Poole and Gill, 1992-2002","NatureServe, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,122.7435728,119.6675182
41,22721191,Chondestes grammacus,1,1,3,"Poole and Gill, 1992-2002","NatureServe, Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,133.71522,96.14795049
42,22734216,Circaetus gallicus,1,1,4,"Svensson et al., 2009; Porter & Aspinall, 2010; Kirwan et al., 2008; Mansoori, 2008; Grimmett et al., 2008; Grimmett et al., 2011; Fergusson-Lees & Christie, 2001","Rob Martin, Sam Cartwright (BirdLife International)",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,775.832169,724.6504214
43,22734216,Circaetus gallicus,1,1,3,"Svensson et al., 2009; Porter & Aspinall, 2010; Kirwan et al., 2008; Mansoori, 2008; Grimmett et al., 2008; Grimmett et al., 2011; Fergusson-Lees & Christie, 2001; Aye et al. 2012; Rasmussen & Anderton, 2012","Rob Martin, Sam Cartwright (BirdLife International)",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,158.5089397,381.4157975
44,22734216,Circaetus gallicus,1,1,1,"Svensson et al., 2009; Porter & Aspinall, 2010; Kirwan et al., 2008; Mansoori, 2008; Grimmett et al., 2008; Grimmett et al., 2011; Fergusson-Lees & Christie, 2001; Aye et al. 2012; Rasmussen & Anderton, 2012","Rob Martin, Sam Cartwright (BirdLife International)",2021,0, , , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,206.0319108,298.3477657
45,22734216,Circaetus gallicus,1,1,2,"Svensson et al., 2009; Porter & Aspinall, 2010; Kirwan et al., 2008; Mansoori, 2008; Grimmett et al., 2008; Grimmett et al., 2011; Fergusson-Lees & Christie, 2001; Aye et al. 2012; Dawaa et al. 1994; Dement'ev & Gladkov, 1951; EBBA2","Rob Martin, Sam Cartwright (BirdLife International), Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,834.6102401,1056.422046
46,22727733,Circus cyaneus,1,1,1,"Svensson et al, 2009; Aye et al. 2009","Rob Martin, Joe Taylor (BirdLife International)",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,475.4180542,210.3126179
47,22727733,Circus cyaneus,1,1,4,"MacKinnon & Phillipps, 2000; Ferguson-Lees & Christie, 2001, 2005; Brazil, 2009; Svensson et al, 2009; Rasmussen & Anderton, 2012; Aye, et al. 2009","Rob Martin, Joe Taylor (BirdLife International)",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,896.2142231,987.2139322
48,22727733,Circus cyaneus,1,1,3,"MacKinnon & Phillipps, 2000; Ferguson-Lees & Christie, 2001, 2005; Brazil, 2009; Svensson et al, 2009; Porter & Aspinall, 2010; Grimmett et al, 2011; Rasmussen & Anderton, 2012; Aye et al. 2009","Rob Martin, Joe Taylor (BirdLife International)",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,1521.039586,1055.21287
49,22727733,Circus cyaneus,1,1,2,"MacKinnon & Phillipps, 2000; Brazil, 2009; Svensson et al, 2009; Porter & Aspinall, 2010; Aye, et al. 2009","Rob Martin, Joe Taylor (BirdLife International)",2021,0, , , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,690.508495,2443.544515
50,22684331,Coccyzus americanus,1,1,1,"BirdLife International, 2002",BirdLife International,2021,0, ,,,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,2.934277523,0.103245696
51,22684331,Coccyzus americanus,1,1,3,"Ridgely, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,375.8668704,1176.505265
52,22684331,Coccyzus americanus,1,1,2,"AOU, 1998","NatureServe, 2002",2021,0, ,,,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,595.5371869,530.5160789
53,22684331,Coccyzus americanus,1,1,4,"AOU, 1998","NatureServe, 2002",2021,0, ,,,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,322.8250025,154.8336686
54,22699811,Contopus sordidulus,1,1,4,"Raffaele et al., 1998;Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,315.5092173,107.5781888
55,22699811,Contopus sordidulus,1,1,2,"Ralph C. J.; Howell and Webb, 1995; Ralph C. J.","WILDSPACETM 2002; NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,801.9277351,822.5660981
56,22699811,Contopus sordidulus,1,1,3,"Ridgley, 2003, Hilty, 2003; del Hoyo et al, 2004; Ridgely, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,148.3783563,274.8619696
57,22723012,Cyanerpes cyaneus,1,1,1,"Ridgley, 2003, Isler & Isler, 1999; Ridgely, 2002; del Hoyo et al, 2011; Ascanio et al, 2017","WWF-US, 2000; NatureServe, 2002; Anna Motis (HBW), Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,458.6142834,666.823013
58,22723012,Cyanerpes cyaneus,1,1,2,"Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,40.77049339,18.99797132
59,22723012,Cyanerpes cyaneus,1,1,3,"Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,21.28380925,3.780591022
60,22723012,Cyanerpes cyaneus,1,5,1,"Ridgley, 2003","BirdLife International, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,42.73850159,9.302275931
61,22679780,Dendrocygna autumnalis,1,1,2,"Sibley, 2000; Howell and Webb, 1995","NatureServe, 2002",2021,0, ,,,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,18.06725611,13.80931765
62,22679780,Dendrocygna autumnalis,1,1,1,"Ridgely, 2002; Solano-Ugalde et al, 2009; Oliveira & Pacheco, 2010; Baldassarre 2014; eBird, 2019; Raffaele et al., 2003; T. Richardson in litt. 2019","NatureServe, 2002; Lynda Donaldson (BirdLife International); Arlie McCarthy (BirdLife International), Joseph Everest  (BirdLife International)",2021,0, ,,,0,2022.1,2019,BirdLife International and Handbook of the Birds of the World,714.7162074,779.5393799
63,22679780,Dendrocygna autumnalis,1,3,1,"Dyer et al 2016; eBird, 2019; James and Thompson. 2001; Garrido and Kirkconnell, 2000","Hannah Wheatley (BirdLife International), Joseph Everest  (BirdLife International)",2021,0, ,,,0,2022.1,2019,BirdLife International and Handbook of the Birds of the World,36.07533864,2.28331467
64,22701397,Dysithamnus plumbeus,1,1,1,BirdLife International; Mazzoni et al. 2016; eBird 2020; WikiAves 2018; GBIF.org 2021,BirdLife International; Hannah Wheatley (BirdLife International),2021,0, ,,,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,7.268887598,0.217403655
65,22699298,Elaenia frantzii,1,1,1,"Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)",2021,0, ,,,0,2022.1,2020,BirdLife International and Handbook of the Birds of the World,94.8167026,21.96045013
66,22699845,Empidonax alnorum,1,1,4,"Sibley, 2000; Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","WILDSPACETM 2002; NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,361.0103438,284.8494327
67,22699845,Empidonax alnorum,1,1,2,Ralph C. J.,"WILDSPACETM 2002; NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,1415.766904,996.5272451
68,22699845,Empidonax alnorum,1,1,3,"Ridgely, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,132.0120936,281.1494865
69,22699857,Empidonax hammondii,1,1,2,"Poole and Gill, 1992","WILDSPACETM 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,387.8188856,361.9044494
70,22699857,Empidonax hammondii,1,1,3,"Howell and Webb, 1995; Zook, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,92.34526813,68.26178808
71,22699857,Empidonax hammondii,1,1,4,"Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,198.4576676,196.9768113
72,22699864,Empidonax oberholseri,1,1,2,"Poole and Gill, 1992","WILDSPACETM 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,172.3382885,305.029012
73,22699864,Empidonax oberholseri,1,1,4,"Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,107.1872207,93.88605299
74,22699864,Empidonax oberholseri,1,1,3,"Poole and Gill, 1992","WILDSPACETM 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,57.10749153,83.67267437
75,22699874,Empidonax occidentalis,1,1,1,"Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,61.20809549,44.5393704
76,22699874,Empidonax occidentalis,1,1,2,"Poole and Gill, 1992","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,139.1548644,200.3343646
77,22699874,Empidonax occidentalis,1,1,3,"Howell and Webb, 1995","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,31.85010756,7.400729815
78,22699874,Empidonax occidentalis,1,1,4,Xeno Canto 2017,"Hannah Wheatley (BirdLife International), Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,84.4528939,55.62461514
79,22699842,Empidonax virescens,1,1,4,"Ralph C. J.;Sibley, 2000; Poole & Gill, 1992-2002","WILDSPACETM 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,224.5123645,91.02368672
80,22699842,Empidonax virescens,1,1,3,"Ridgley, 2003, del Hoyo et al, 2004; Hilty, 2003;Ridgely, 2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,139.6325995,76.94865936
81,22699842,Empidonax virescens,1,1,2,"Poole & Gill, 1992-2002; Ralph C. J.","WILDSPACETM 2002; NatureServe, 2005, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,329.0999715,304.1071017
82,22699860,Empidonax wrightii,1,1,2,"Poole and Gill, 1992-2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,77.27477747,120.6833274
83,22699860,Empidonax wrightii,1,1,3,"Poole and Gill, 1992-2002","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,72.70830202,85.49110955
84,22699860,Empidonax wrightii,1,1,4,"Sibley, 2000","NatureServe, 2002, Claudia Hermes (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,84.56859099,75.32978096
85,22696437,Falco amurensis,1,1,4,"Ding, 2001; Ferguson -Lees & Christie 2001, 2005, del Hoyo et al 1994, Brazil 2009, Mackinnon & Phillipps 2000, Robson 2002, Robson 2008, Grimmett et al 1998, Kazmierczak 2008, Stevenson & Fanshawe 2002, Redman et al 2009, Ash & Miskel 1998",Richard Johnson (BirdLife International),2021,0, , , ,0,2022.1,2009,BirdLife International and Handbook of the Birds of the World,709.0237468,864.0715252
86,22696437,Falco amurensis,1,1,2,"Ding, 2001; Ferguson -Lees & Christie 2001, 2005, del Hoyo et al 1994, Brazil 2009",Richard Johnson (BirdLife International),2021,0, , , ,0,2022.1,2009,BirdLife International and Handbook of the Birds of the World,137.2827121,335.3814324
87,22696437,Falco amurensis,1,1,3,"Brown, 1982; Ferguson -Lees & Christie 2001, 2005, del Hoyo et al 1994, Hockey et al 2005",Richard Johnson (BirdLife International),2021,0, , , ,0,2022.1,2009,BirdLife International and Handbook of the Birds of the World,94.90534091,169.9737237
88,22696495,Falco cherrug,1,1,3,"Mullarney et al., 1999; MacKinnon and Phillipps, 2000; Stevenson and Fanshawe, 2002; Borrow and Demey, 2004; Ferguson-Lees and Christie, 2005; Rasmussen and Anderton, 2005; Redman et al., 2009","Rob Martin, Joe Taylor (BirdLife International)",2021,0, , , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,568.0868098,425.8918029
89,22696495,Falco cherrug,1,1,1,"Mullarney et al., 1999; Ferguson-Lees and Christie, 2005; Rasmussen and Anderton, 2005; Porter and Aspinall, 2010; CMS/ UNEP 2014",Joe Taylor (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,236.6464023,239.1508408
90,22696495,Falco cherrug,1,1,4,"Mullarney et al., 1999; Brazil, 2009; Porter and Aspinall, 2010; CMS/ UNEP 2014",Joe Taylor (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,1279.875616,2333.986431
91,22696495,Falco cherrug,1,1,2,"Mullarney et al., 1999; MacKinnon and Phillipps, 2000; Ferguson-Lees and Christie, 2005; Brazil, 2009; Nikolenko et al. 2014; CMS/ UNEP 2014",Joe Taylor (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,365.8577505,852.8071888
92,22696453,Falco columbarius,1,1,4,"Sibley, 2000; Konrad et al 2020","NatureServe, 2002; Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,310.2527246,274.532976
93,22696453,Falco columbarius,1,1,3,Ralph C. J.;Howell & Webb 1995;Zook 2002;Ridgely 2002;Ferguson-Lees & Christie 2005;Rasmussen & Anderton 2005;del Hoyo et al 1994;Alderfer 2006;Snow & Perrins 1998;Ridgley 2003;de Juana & Garcia 2015;Dubois et al 2008;Kirwan et al 2008;Konrad et al 2020,"Rob Martin (BirdLife International), NatureServe, 2002; Hannah Wheatley (BirdLife International), Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,2527.914871,2047.085372
94,22696453,Falco columbarius,1,1,1,"Ralph C. J.; Ferguson-Lees & Christie, 2005; Rasmussen & Anderton, 2005; del Hoyo et al, 1994; Alderfer, 2006; Snow and Perrins, 1998 Ding, 2001; Cramp, 1997; Ridgley, 2003; Konrad et al 2020","NatureServe, 2002; BirdLife International; Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,909.1229882,225.0193662
95,22696453,Falco columbarius,1,1,2,"Ralph C. J.; Cramp, 1997; Flint, 1984; Konrad et al 2020","NatureServe, 2002; BirdLife International; Lucy Haskell (BirdLife International)",2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,3274.417147,3715.72568
96,22696362,Falco tinnunculus,1,1,4,"Svensson et al., 2009; Porter & Aspinall, 2010; Kirwan et al., 2008; Grimmett et al., 2008; Grimmett et al., 2011; Rasmussen & Anderton, 2005; Brazil, 2009; Robson, 2002; Sinclair and Ryan, 2010; Fergusson-Lees & Christie, 2001",Sam Cartwright (BirdLife International); Lucy Haskell (BirdLife International),2021,0, , , ,0,2022.1,2021,BirdLife International and Handbook of the Birds of the World,262.583297,279.4858876
