fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
824,22721367,Arremon aurantiirostris,1,1,1,"Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","NatureServe, 2002",2020,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,162.1533314,42.84670372
825,22721372,Arremon schlegeli,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,49.61554477,15.49063756
826,22733777,Atlapetes rufinucha,1,1,1,"Young, 2007","NatureServe, 2007",2016,0,, , ,0,2022.1,2007,BirdLife International and Handbook of the Birds of the World,3.498924726,0.28835937
827,22702910,Automolus ochrolaemus,1,1,1,"Ridgely, 2002","NatureServe, 2002",2020,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,286.1799418,526.8050702
828,22711983,Baeolophus bicolor,1,1,1,"Poole and Gill, 1992","WILDSPACETM 2002; NatureServe, 2002",2016,0,, ,Formerly included Baeophilus atricristatus (Black-crested Titmouse).,0,2022.1,2007,BirdLife International and Handbook of the Birds of the World,345.3058423,301.3254071
829,22721989,Myiothlypis conspicillata,1,1,1,BirdLife International,BirdLife International,2016,0,, , ,0,2022.1,2003,BirdLife International and Handbook of the Birds of the World,18.20177524,0.224591361
830,22721989,Myiothlypis conspicillata,3,1,1,BirdLife International,BirdLife International,2016,0,, , ,0,2022.1,2003,BirdLife International and Handbook of the Birds of the World,14.79964182,0.123901553
831,22721992,Myiothlypis coronata,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,103.0377537,34.32919379
832,22721958,Myiothlypis fraseri,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,19.52627716,4.954999253
833,22721975,Myiothlypis nigrocristata,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,69.0114072,15.76802562
