#no	Lineage_Name	found	tested	vector_species	method	country	site	Reference_Name	comment
115	CXPIP09	 	 	Aedes albopictus	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
116	CXPIP09	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
117	CXPIP09	 	 	Culex pipiens	PCR, abdomen with blood meal	Japan	 	Kim et al 2009b	 
118	CXPIP09	 	 	Culex pipiens	PCR, mosquitoes without blood meals	Japan	 	Kim et al 2009b	 
119	CXPIP09	 	 	Culex pipiens	PCR, mosquitoes without blood meals	Japan	 	Kim et al 2009b	 
120	CXPIP09	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
121	CXPIP09	3	533	Culex pipiens	PCR, oocysts and sporozoites	Japan	Rinshi-no-mori Park	Kim & Tsuda 2015	 
122	CXPIP09	 	 	Culex pipiens	PCR, thorax, blood filled	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
123	CXPIP09	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
124	CXPIP09	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	Nihon University farm	Shirotani et al 2009	1 positive pool/276 pools tested (811 mosquitoes
125	CXPIP09	 	 	Culex pipiens	PCR, head-thorax/abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
126	CXPIP09	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Marinepia Aquarium	Inumaru et al 2021a	 
127	CXPIP09	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Marinepia	Inumaru et al 2021a	bloodfed
128	CXPIP09	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
129	CXPIP09	 	 	Culex sasai	PCR, abdomen with blood meal	Japan	 	Kim et al 2009a	 
130	CXPIP09	 	 	Lutzia vorax	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
131	CXPIP09	 	 	Lutzia vorax	PCR, mosquitoes without blood meals	Japan	 	Kim et al 2009b	 
132	CXPIP10	 	 	Culex pipiens	PCR, mosquitoes without blood meals	Japan	 	Kim et al 2009b	 
133	CXPIP10	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
134	CXPIP10	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
135	CXPIP10	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
136	CXPIP11	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
137	CXPIP12	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
138	CXPIP13	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
139	CXPIP14	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
140	CXPIP15	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
141	CXPIP16	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
142	CXPIP17	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
143	CXPIP18	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
144	CXPIP19	 	 	Culex pipiens	PCR, abdomen, blood filled	Japan	Ueno Zoological Gardens Tokyo	Ejiri et al 2011a	 
145	CXPIP19	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	Nihon University farm	Shirotani et al 2009	1 positive pool/276 pools tested (811 mosquitoes
146	CXPIP19	 	 	Culex pipiens	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
147	CXPIP20	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
148	CXPIP21	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
149	CXPIP22	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
150	CXPIP23	 	 	Culex pipiens	PCR, head and thorax	Turkey	 	Inci et al 2012	 
151	CXPIP23	 	 	Ochlerotatus caspius	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
152	CXPIP24	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
153	CXPIP25	1	149	Culex pipiens	PCR , whole mosquitoes	France	Sussargues	Zele et al 2014	 
154	CXPIP26	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
155	CXPIP27	1	299	Culex pipiens	PCR , whole mosquitoes	France	Mejanes	Zele et al 2014	 
156	CXPIP27	1	165	Culex pipiens	PCR , whole mosquitoes	France	Marais du Vigueirat	Zele et al 2014	 
157	CXPIP28	2	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
158	CXPIP29	1	164	Culex pipiens	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
159	CXPIP30	1	164	Culex pipiens	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
160	CXPIP31	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Kushiro Zoo	Ejiri et al 2011c	 
161	CXPIP32	 	 	Culex pipiens	Unkown	Italy	Zoomarine	Iurescia et al unpubl	 
162	CXPIP33	 	 	Culex pipiens	Unkown	Italy	Zoomarine	Iurescia et al unpubl	 
163	CXPOI01	 	 	Culex poicilipes	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
164	CXQUI01	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
165	CXQUI01	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
166	CXQUI01	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
167	CXQUI01	2	1314	Culex inatomii	PCR, oocysts and sporozoites	Japan	Sakata wetland	Kim & Tsuda 2015	 
168	CXQUI02	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
169	CXQUI03	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
170	CXQUI04	 	 	Culex quinquefasciatus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
171	CXRES01	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
172	CXRES02	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
173	CXRES03	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
174	CXRES04	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
175	CXRES05	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
176	CXRES06	5	 	Culex restuans	PCR, abdomen with blood meal	Mexico	Park Molinas  de San Roque	Abella-Medrano et al 2018	 
177	CXRES06	1	 	Culex restuans	PCR, abdomen with blood meal	Mexico	Francisco Xavier Clavijero Park	Abella-Medrano et al 2018	 
178	CXRES06	2	 	Aedes quadrivittatus	PCR, abdomen with blood meal	Mexico	Xico	Abella-Medrano et al 2018	 
179	CXRES06	1	 	Aedes quadrivittatus	PCR, abdomen with blood meal	Mexico	Francisco Xavier Clavijero Park	Abella-Medrano et al 2018	 
180	CXRES06	1	 	Wyeomyia adelpha	PCR, abdomen with blood meal	Mexico	Francisco Xavier Clavijero Park	Abella-Medrano et al 2018	 
181	CXTHE01	 	 	Culex theileri	PCR, head and thorax	Turkey	 	Inci et al 2012	 
182	CXTRI01	 	 	Culex tritaeniorhynchus	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
183	CYAOLI04	 	 	Ochlerotatus taeniorhynchus	PCR, head and thorax	Mexico	Socorro Island	Carlson et al 2011	 
184	DELURB4	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
185	DELURB4	1	149	Culex pipiens	PCR , whole mosquitoes	France	Sussargues	Zele et al 2014	 
186	DELURB4	9	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
187	DELURB4	7	299	Culex pipiens	PCR , whole mosquitoes	France	Mejanes	Zele et al 2014	 
188	DELURB4	4	165	Culex pipiens	PCR , whole mosquitoes	France	Marais du Vigueirat	Zele et al 2014	 
189	DELURB4	2	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
190	DELURB5	4	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
191	DELURB5	3	299	Culex pipiens	PCR , whole mosquitoes	France	Mejanes	Zele et al 2014	 
192	DELURB5	3	165	Culex pipiens	PCR , whole mosquitoes	France	Marais du Vigueirat	Zele et al 2014	 
193	DELURB5	 	 	Culex theileri	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
194	DELURB5	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
195	DENPET03	 	 	Aedes albopictus	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
196	DENPET03	 	 	Culex coronator	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
197	DENPET03	 	 	Ochlerotatus scapularis	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
198	DENPET03	 	 	Ochlerotatus scapularis	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
199	DENPET03	 	 	Ochlerotatus scapularis	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
200	DENPET03	 	 	Ochlerotatus scapularis	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
201	DENPET03	 	 	Mansonia sp.	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
202	DONANA01	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
203	DONANA02	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
204	DONANA03	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
205	DONANA03	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
206	DONANA04	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
207	DONANA05	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
208	DONANA05	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
209	DONANA08	 	 	Ochlerotatus caspius	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
210	EMCIR01	 	 	Ochlerotatus taeniorhynchus	PCR, thorax, absence of host DNA	Ecuador	 	Bataille et al 2012	 
211	EUSE1	 	 	Simulium securiforme	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
