#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
16461	ZOCAP19	HaemH20	Haemoproteus	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Socoroma	-18°15.60000', -069°36.00000'	2	53	Doussang et al 2019	 
16462	ZOCAP19	H13	Haemoproteus	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Socoroma	-18°15.83333', -069°36.18333'	1	195	Doussang et al 2021	 
16463	ZOCAP19	H13	Haemoproteus	Passeriformes	Fringillidae	Thraupis	Thraupis bonariensis	 	Resident	Unknown	Wild	South America	Chile	 	Putre	-18°11.81666', -069°33.58333'	1	72	Doussang et al 2021	 
16464	ZOCAP19	H13	Haemoproteus	Passeriformes	Fringillidae	Thraupis	Thraupis bonariensis	 	Resident	Unknown	Wild	South America	Chile	 	Socoroma	-18°15.83333', -069°36.18333'	9	195	Doussang et al 2021	 
16465	ZOCAP20	PlasH22	Plasmodium	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Til-Til	-33°04.80000', -070°55.20000'	1	68	Doussang et al 2019	 
16466	ZOCAP20	H70	Plasmodium	Passeriformes	Icteridae	Molothrus	Molothrus bonariensis	 	Resident	Unknown	Wild	South America	Argentina	 	La Para, Río Primero	-30°53.40000', -063°00.00000'	1	9	Doussang et al 2021	 
16467	ZOCAP21	HaemH28	Haemoproteus	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Socoroma	-18°15.60000', -069°36.00000'	1	53	Doussang et al 2019	 
16468	ZOCAP21	H33	Haemoproteus	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Azapa	-18°30.15000', -070°14.70000'	1	34	Doussang et al 2021	 
16469	ZOCAP21	H33	Haemoproteus	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Socoroma	-18°15.83333', -069°36.18333'	1	195	Doussang et al 2021	 
16470	ZOCHL01	V	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops olivaceus	Zosterops olivaceus chloronothos	 	 	Wild	Africa	Mauritius	 	 	 	1	2	Cornuault et al 2012	Alternative lineage name: V.
16471	ZOCHL01	V	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops mauritianus	 	 	 	Wild	Africa	Mauritius	 	 	 	 	 	Cornuault et al 2012	Alternative lineage name: V. Relative prevalence can be found in Cornuault et al 2012, Table S2.
16472	ZOCHL02	W	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops olivaceus	Zosterops olivaceus chloronothos	 	 	Wild	Africa	Mauritius	 	 	 	1	2	Cornuault et al 2012	Alternative lineage name: W.
16473	ZOLEU01	49	Plasmodium	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	 	 	Wild	North America	United States	Oregon	 	 	 	 	Ricklefs & Fallon 2002	 
16474	ZOLEU01	P.sp.49,SWTH.P3	Plasmodium	Passeriformes	Turdidae	Catharus	Catharus ustulatus	 	 	 	Wild	North America	Canada	 	 	 	 	 	Svensson et al 2007	 
16475	ZOLEU02	L.fringillinarum	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	Zonotrichia leucophrys oriantha	 	 	Wild	North America	United States	 	 	 	 	 	Perkins 2008	 
16476	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Fringillidae	Spizella	Spizella arborea	 	Migratory	Unknown	Wild	North America	United States	Alaska	Denali Highway	63°07.00000', -146°33.00000'	 	 	Oakgrove et al 2014	 
16477	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile hudsonica	 	Resident	Unknown	Wild	North America	United States	Alaska	Coldfoot	67°12.00000', -150°10.00000'	 	 	Oakgrove et al 2014	 
16478	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Fringillidae	Passerella	Passerella iliaca	 	Migratory	Unknown	Wild	North America	United States	Alaska	Denali Highway	63°07.00000', -146°33.00000'	 	 	Oakgrove et al 2014	 
16479	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Unknown	Wild	North America	United States	Alaska	Anchorage	61°09.00000', -149°10.00000'	 	 	Oakgrove et al 2014	 
16480	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Fringillidae	Passerculus	Passerculus sandwichensis	 	Migratory	Unknown	Wild	North America	United States	Alaska	Denali Highway	63°07.00000', -146°33.00000'	 	 	Oakgrove et al 2014	 
16481	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Unknown	Wild	North America	United States	Alaska	Fairbanks	64°52.00000', -147°44.00000'	 	 	Oakgrove et al 2014	 
