"","x"
"951","Columba oenas"
"952","Acrocephalus mendanae"
"953","Acrocephalus orientalis"
"954","Xanthomixis cinereiceps"
"955","Monticola sharpei"
"956","Tylas eduardi"
"957","Philepitta castanea"
"958","Pseudobias wardi"
"959","Anser anser"
"960","Eumyias albicaudatus"
"961","Monticola solitarius"
"962","Conirostrum tamarugense"
"963","Acrocephalus melanopogon"
"964","Panurus biarmicus"
"965","Anthornis melanura"
"966","Malacoptila striata"
"967","Donacobius atricapilla"
"968","Sporophila americana"
"969","Stachyris pyrrhops"
"970","Cracticus tibicen"
"971","Rostrhamus sociabilis"
"972","Thryothorus ludovicianus"
"973","Ailuroedus buccoides"
"974","Zoothera aurea"
"975","Uraeginthus angolensis"
"976","Psalidoprocne albiceps"
"977","Phedina borbonica"
"978","Motacilla flaviventris"
"979","Phylloscopus canariensis"
"980","Delichon dasypus"
"981","Phoenicurus ochruros"
"982","Sylvia nisoria"
"983","Phylloscopus sindianus"
"984","Gymnorhinus cyanocephalus"
"985","Gymnopithys leucaspis"
"986","Mecocerculus stictopterus"
"987","Hemixos castanonotus"
"988","Chiroxiphia boliviana"
"989","Lepidothrix isidorei"
"990","Heliodoxa schreibersii"
"991","Hemispingus atropileus"
"992","Hemitriccus griseipectus"
"993","Herpsilochmus atricapillus"
"994","Hippolais caligata"
"995","Iduna pallida"
"996","Ficedula elisae"
"997","Phylloscopus inornatus"
"998","Phylloscopus armandii"
"999","Hylocharis leucotis"
"1000","Hylophylax naevius"
"1001","Hylophilus ochraceiceps"
"1002","Hylophylax punctulatus"
"1003","Hyloctistes subulatus"
"1004","Syndactyla ruficollis"
"1005","Nectarinia humbloti"
"1006","Hypocnemis cantator"
"1007","Ixos philippinus"
"1008","Hypsipetes leucocephalus"
"1009","Sitta frontalis"
"1010","Neodrepanis coruscans"
"1011","Hypocnemis ochrogyna"
"1012","Iole propinqua"
"1013","Schistocichla leucostigma"
"1014","Hylocryptus rectirostris"
"1015","Daptrius americanus"
"1016","Molothrus rufoaxillaris"
"1017","Poospiza lateralis"
"1018","Paroaria coronata"
"1019","Icterus cayanensis"
"1020","Ilicura militaris"
"1021","Iole olivacea"
"1022","Myrmotherula guttata"
"1023","Myrmotherula hauxwelli"
"1024","Sitta pygmaea"
"1025","Amazilia beryllina"
"1026","Junco phaeonotus"
"1027","Knipolegus poecilocercus"
"1028","Lacedo pulchella"
"1029","Tricholestes criniger"
"1030","Lanius cristatus"
"1031","Tyrannus vociferans"
"1032","Sialia currucoides"
"1033","Lamprotornis hildebrandti"
"1034","Sturnus vulgaris"
"1035","Sturnus roseus"
"1036","Leucophaeus scoresbii"
"1037","Lathrotriccus euleri"
"1038","Leiothrix argentauris"
"1039","Leptopterus chabert"
"1040","Corythopis torquatus"
"1041","Myiobius atricaudus"
"1042","Cryptopipo holochlora"
"1043","Epinecrophylla erythrura"
"1044","Machaeropterus pyrocephalus"
"1045","Elaenia parvirostris"
"1046","Lepidothrix nattereri"
"1047","Tangara schrankii"
"1048","Tangara velia"
"1049","Thraupis palmarum"
"1050","Tiaris obscura"
"1051","Polioptila paraensis"
"1052","Lepidocolaptes falcinellus"
"1053","Leptotila rufaxilla"
"1054","Leptasthenura striata"
"1055","Lepidothrix vilasboasi"
"1056","Lesbia nuna"
"1057","Stomiopera unicolor"
"1058","Fulica cristata"
"1059","Luscinia luscinia"
"1060","Passer rufocinctus"
"1061","Lipaugus vociferans"
"1062","Anthus berthelotii"
"1063","Sylvia melanocephala"
"1064","Lonchura punctulata"
"1065","Xenopipo atronitens"
"1066","Hemitriccus margaritaceiventer"
"1067","Saltator similis"
"1068","Stephanophorus diadematus"
"1069","Tangara sayaca"
"1070","Malacoptila fusca"
"1071","Poicephalus meyeri"
"1072","Malimbus rubricollis"
"1073","Margarornis squamiger"
"1074","Megadyptes antipodes"
"1075","Psilopogon henricii"
"1076","Melidectes belfordi"
"1077","Melanerpes formicivorus"
"1078","Momotus momota"
"1079","Momotus lessonii"
"1080","Pipilo fuscus"
"1081","Melilestes megarhynchus"
"1082","Ptiloprora perstriata"
"1083","Meliphaga montana"
"1084","Toxorhamphus poliopterus"
"1085","Melanocharis nigra"
"1086","Melanocharis versteri"
"1087","Melanocharis striativentris"
"1088","Sericornis nouhuysi"
"1089","Peneothello cyanus"
"1090","Rhagologus leucostigma"
"1091","Rhipidura atra"
"1092","Sericornis perspicillatus"
"1093","Mesembrinibis cayennensis"
"1094","Monasa morphoeus"
"1095","Megalaima virens"
"1096","Micrastur gilvicollis"
"1097","Milvago chimachima"
"1098","Micrastur mintoni"
"1099","Microeca papuana"
"1100","Micrastur ruficollis"
"1101","Minla ignotincta"
"1102","Milvus milvus"
"1103","Mimus polyglottos"
"1104","Mimus triurus"
"1105","Mionectes olivaceus"
"1106","Cyanoloxia brissonii"
"1107","Progne tapera"
"1108","Poecilotriccus plumbeiceps"
"1109","Trochalopteron cachinnans"
"1110","Montecincla jerdoni"
"1111","Monasa nigrifrons"
"1112","Ramphastos tucanus"
"1113","Pipreola riefferii"
"1114","Muscicapa ferruginea"
"1115","Muscicapa dauurica"
"1116","Lanius meridionalis"
"1117","Myadestes unicolor"
"1118","Myophonus caeruleus"
"1119","Mycteria americana"
"1120","Micrastur semitorquatus"
"1121","Ardea cocoi"
"1122","Ardea alba"
"1123","Caracara plancus"
"1124","Coccyzus americanus"
"1125","Platalea ajaja"
"1126","Myiopagis caniceps"
"1127","Contopus fumigatus"
"1128","Megarynchus pitangua"
"1129","Buarremon basilicus"
"1130","Colaptes atricollis"
"1131","Vireo leucophrys"
"1132","Myiotheretes fuscorufus"
"1133","Elaenia chiriquensis"
"1134","Myiopagis viridicata"
"1135","Phaeomyias murina"
"1136","Serpophaga subcristata"
"1137","Rhytipterna simplex"
"1138","Campylorhynchus turdinus"
"1139","Myrmotherula urosticta"
"1140","Cracticus torquatus"
"1141","Cinnycerthia peruana"
"1142","Myrmotherula longipennis"
"1143","Myrmotherula menetriesii"
"1144","Myrmotherula longicauda"
"1145","Myrmeciza fortis"
"1146","Myrmeciza hemimelaena"
"1147","Sciaphylax hemimelaena"
"1148","Myrmoborus leucophrys"
"1149","Rhegmatorhina berlepschi"
"1150","Schistocichla humaythae"
"1151","Gymnopithys rufigula"
"1152","Thamnomanes ardesiacus"
"1153","Sporophila plumbea"
"1154","Neomixis tenella"
"1155","Nemosia pileata"
"1156","Thryothorus genibarbis"
"1157","Streptopelia picturata"
"1158","Newtonia brunneicauda"
"1159","Niltava grandis"
"1160","Garrulax albogularis"
"1161","Pellorneum ruficeps"
"1162","Pomatorhinus horsfieldii"
"1163","Enicurus leschenaulti"
"1164","Niltava davidi"
"1165","Ninox philippensis"
"1166","Nucifraga columbiana"
"1167","Nycticorax nycticorax"
"1168","Penelope superciliaris"
"1169","Nystalus chacuru"
"1170","Nystalus maculatus"
"1171","Bucco capensis"
"1172","Xiphorhynchus guttatus"
"1173","Hemitriccus rufigularis"
"1174","Microcerculus marginatus"
"1175","Rhegmatorhina melanosticta"
"1176","Poospiza hispaniolensis"
"1177","Silvicultrix frontalis"
"1178","Poospiza caesar"
"1179","Sclerurus mexicanus"
"1180","Ochthoeca pulchella"
"1181","Malacoptila fulvogularis"
"1182","Pyrrhomyias cinnamomeus"
"1183","Oedistoma iliolophus"
"1184","Oena capensis"
"1185","Picumnus subtilis"
"1186","Oriolus oriolus"
"1187","Gyps bengalensis"
"1188","Pycnonotus sinensis"
"1189","Otus bakkamoena"
"1190","Geokichla citrina"
"1191","Zoothera dauma"
"1192","Megascops ingens"
"1193","Otus megalotis"
"1194","Strix aluco"
"1195","Otus sunia"
"1196","Pachycephala homeyeri"
"1197","Pachycephala hyperythra"
"1198","Pachycephala schlegelii"
"1199","Pachycephalopsis poliosoma"
"1200","Pachyramphus marginatus"
"1201","Piranga rubra"
"1202","Tityra semifasciata"
"1203","Pachyramphus rufus"
"1204","Pachyramphus validus"
"1205","Euplectes afer"
"1206","Calidris canutus"
"1207","Cnemotriccus fuscatus"
"1208","Elaenia cristata"
"1209","Tachyphonus phoenicius"
"1210","Tachyphonus cristatus"
"1211","Ramphotrigon ruficauda"
"1212","Elaenia mesoleuca"
"1213","Haplospiza unicolor"
"1214","Lophotriccus eulophotes"
"1215","Phaeothlypis fulvicauda"
"1216","Sittasomus griseicapillus"
"1217","Thlypopsis sordida"
"1218","Passerina ciris"
"1219","Seiurus motacilla"
"1220","Schiffornis virescens"
"1221","Passer griseus"
"1222","Psittiparus gularis"
"1223","Nyctidromus albicollis"
"1224","Myiothlypis fraseri"
"1225","Pachyramphus albogriseus"
"1226","Phaethornis syrmatophorus"
"1227","Paramythia montium"
"1228","Peneothello bimaculata"
"1229","Sitta krueperi"
"1230","Certhia brachydactyla"
"1231","Lophophanes cristatus"
"1232","Patagioenas fasciata"
"1233","Scytalopus sp."
"1234","Sericossypha albocristata"
"1235","Anthus cinnamomeus"
"1236","Anthus rufulus"
"1237","Pellorneum capistratum"
"1238","Tregellasia leucops"
"1239","Peneothello sigillata"
"1240","Penelopides panini"
"1241","Perisoreus canadensis"
"1242","Piprites chloris"
"1243","Phalacrocorax brasilianus"
"1244","Threnetes niger"
"1245","Phaethornis striigularis"
"1246","Empidonax virescens"
"1247","Lafresnaya lafresnayi"
"1248","Ochthoeca piurae"
"1249","Philydor erythropterum"
"1250","Phlegopsis erythroptera"
"1251","Philohydor lictor"
"1252","Synallaxis rutilans"
"1253","Sayornis nigricans"
"1254","Tangara cyanoptera"
"1255","Mimus thenca"
"1256","Phrygilus gayi"
"1257","Asthenes dorbignyi"
"1258","Muscisaxicola maculirostris"
"1259","Phrygilus punensis"
"1260","Geospizopsis unicolor"
"1261","Luscinia calliope"
"1262","Phoenicurus phoenicurus"
"1263","Locustella fasciolata"
"1264","Phytotoma rutila"
"1265","Piaya cayana"
"1266","Piculus flavigula"
"1267","Pica pica"
"1268","Piranga olivacea"
"1269","Hemitriccus granadensis"
"1270","Lepidocolaptes lacrymiger"
"1271","Pipreola arcuata"
"1272","Pitta phayrei"
"1273","Niltava macgrigoriae"
"1274","Automolus rubiginosus"
"1275","Piranga leucoptera"
"1276","Microrhopias quixensis"
"1277","Thamnophilus ambiguus"
"1278","Pitohui dichrous"
"1279","Ploceus melanocephalus"
"1280","Poecilodryas cerviniventris"
"1281","Erythrogenys erythrogenys"
"1282","Pomatorhinus hypoleucos"
"1283","Pomatostomus superciliosus"
"1284","Pomatorhinus ruficollis"
"1285","Mixornis gularis"
"1286","Progne subis"
"1287","Tachycineta meyeni"
"1288","Hellmayrea gularis"
"1289","Dendropicos fuscescens"
"1290","Plocepasser rufoscapulatus"
"1291","Psophia leucoptera"
"1292","Ptilogonys cinereus"
"1293","Ptiloprora guisei"
"1294","Pycnonotus brunneus"
"1295","Pycnonotus cafer"
"1296","Pycnonotus leucogenys"
"1297","Pycnonotus cyaniventris"
"1298","Pycnonotus goiavier"
"1299","Pycnonotus melanicterus"
"1300","Alcippe brunneicauda"
"1301","Pycnonotus flavescens"
"1302","Dysithamnus plumbeus"
"1303","Pyriglena leucoptera"
"1304","Pycnonotus jocosus"
"1305","Pyrrhura lepida"
"1306","Lanius minor"
"1307","Cisticola fulvicapilla"
"1308","Chloropeta similis"
"1309","Regulus satrapa"
"1310","Origma robusta"
"1311","Rhipidura albolimbata"
"1312","Rhynchospiza stolzmanni"
"1313","Turdus iliacus"
"1314","Hieraaetus wahlbergi"
"1315","Rupornis magnirostris"
"1316","Saltator atricollis"
"1317","Sarcops calvus"
"1318","Schiffornis turdina"
"1319","Spiza americana"
"1320","Ammodramus henslowii"
"1321","Salpinctes obsoletus"
"1322","Seicercus xanthodryas"
"1323","Serpophaga cinerea"
"1324","Setophaga graciae"
"1325","Muscigralla brevicauda"
"1326","Sporophila peruviana"
"1327","Turdus reevei"
"1328","Parula superciliosa"
"1329","Epinecrophylla spodionota"
"1330","Lamprospiza melanoleuca"
"1331","Lanio versicolor"
"1332","Xenops minutus"
"1333","Vireo flavifrons"
"1334","Eremophila alpestris"
"1335","Sylvia cantillans"
"1336","Dendrocopos major"
"1337","Pachyptila belcheri"
"1338","Anas acuta"
"1339","Ciconia ciconia"
"1340","Marmaronetta angustirostris"
"1341","Cercotrichas galactotes"
"1342","Cyanopica cooki"
"1343","Emberiza calandra"
"1344","Emberiza cia"
"1345","Hippolais polyglotta"
"1346","Monticola saxatilis"
"1347","Oenanthe oenanthe"
"1348","Phoenicurus moussieri"
"1349","Saxicola maura"
"1350","Sylvia deserticola"
"1351","Sylvia undata"
"1352","Colibri coruscans"
"1353","Phleocryptes melanops"
"1354","Gallinago gallinago"
"1355","Lamprotornis superbus"
"1356","Veniliornis callonotus"
"1357","Carduelis spinus"
"1358","Tachyphonus rufiventer"
"1359","Smicrornis brevirostris"
"1360","Streptopelia senegalensis"
"1361","Pyroderus scutatus"
"1362","Geospiza fortis"
"1363","Alcippe castaneceps"
"1364","Stachyris strialata"
"1365","Porzana parva"
"1366","Fulica atra"
"1367","Sturnus unicolor"
"1368","Petroica australis"
"1369","Zosterops lateralis"
"1370","Turdus pallidus"
"1371","Cisticola cherina"
"1372","Synallaxis whitneyi"
"1373","Sylvia crassirostris"
"1374","Monarcha axillaris"
"1375","Toxorhamphus novaeguineae"
"1376","Synallaxis albescens"
"1377","Synallaxis unirufa"
"1378","Sporophila angolensis"
"1379","Tachyphonus luctuosus"
"1380","Tachuris rubrigastra"
"1381","Tangara argyrofenges"
"1382","Tangara chilensis"
"1383","Campylorhamphus trochilirostris"
"1384","Tangara cyanicollis"
"1385","Tangara desmaresti"
"1386","Monarcha guttula"
"1387","Sicalis luteola"
"1388","Eriocnemis vestita"
"1389","Tangara xanthocephala"
"1390","Taraba major"
"1391","Tangara gyrola"
"1392","Cranioleuca hellmayri"
"1393","Eucometis penicillata"
"1394","Basileuterus rufifrons"
"1395","Terpsiphone viridis"
"1396","Myiotheretes pernix"
"1397","Basileuterus conspicillatus"
"1398","Thamnophilus murinus"
"1399","Myrmeciza goeldii"
"1400","Trogon personatus"
"1401","Thalurania fannyi"
"1402","Thalurania glaucopis"
"1403","Rhegmatorhina gymnops"
"1404","Rhegmatorhina hoffmannsi"
"1405","Hypocnemis hypoxantha"
"1406","Turdus fumigatus"
"1407","Thamnophilus tenuepunctatus"
"1408","Thamnophilus torquatus"
"1409","Sakesphorus cristatus"
"1410","Tangara mexicana"
"1411","Anabazenops fuscus"
"1412","Arremon schlegeli"
"1413","Basileuterus basilicus"
"1414","Aglaiocercus kingi"
"1415","Cinnycerthia olivascens"
"1416","Myiotheretes fumigatus"
"1417","Saltator aurantiirostris"
"1418","Cnemarchus erythropygius"
"1419","Sicalis olivascens"
"1420","Phaethornis superciliosus"
"1421","Phaethornis baroni"
"1422","Ampelion rubrocristatus"
"1423","Cypseloides rutilus"
"1424","Myiozetetes similis"
"1425","Eriocnemis cupreoventris"
"1426","Eriocnemis derbyi"
"1427","Amazilia alticola"
"1428","Boissonneaua matthewsii"
"1429","Phaethornis griseogularis"
"1430","Cinnycerthia unirufa"
"1431","Elaenia pallatangae"
"1432","Icterus mesomelas"
"1433","Heliodoxa rubinoides"
"1434","Baryphthengus martii"
"1435","Chalcostigma stanleyi"
"1436","Chlorochrysa calliparaea"
"1437","Colaptes rupicola"
"1438","Cranioleuca marcapatae"
"1439","Electron platyrhynchum"
"1440","Florisuga mellivora"
"1441","Heliangelus micraster"
"1442","Lesbia victoriae"
"1443","Metallura eupogon"
"1444","Monasa flavirostris"
"1445","Oreotrochilus estella"
"1446","Pterophanes cyanopterus"
"1447","Taphrospilus hypostictus"
"1448","Threnetes leucurus"
"1449","Scytalopus simonsi"
"1450","Actinodura egertoni"
"1451","Garrulax lineatus"
"1452","Turdus boulboul"
"1453","Turdus chrysolaus"
"1454","Turdus pilaris"
"1455","Pachyramphus viridis"
"1456","Turdus subalaris"
"1457","Turdus grayi"
"1458","Iridosornis jelskii"
"1459","Oreonympha nobilis"
"1460","Xiphocolaptes albicollis"
"1461","Turdus fulviventris"
"1462","Donacospiza albifrons"
"1463","Turdoides striata"
"1464","Turtur tympanistria"
"1465","Tyto furcata"
"1466","Prinia hodgsonii"
"1467","Orthotomus sutorius"
"1468","Vanga curvirostris"
"1469","Myiornis albiventris"
"1470","Vireo griseus"
"1471","Clytolaema rubricauda"
"1472","Xenops rutilans"
"1473","Epinecrophylla leucophthalma"
"1474","Catherpes mexicanus"
"1475","Vireo solitarius"
"1476","Celeus flavescens"
"1477","Dryocopus lineatus"
"1478","Hylophilus amaurocephalus"
"1479","Xiphorhynchus spixii"
"1480","Poecilotriccus fumifrons"
"1481","Jynx torquilla"
"1482","Remiz pendulinus"
"1483","Dendroica virens"
"1484","Xiphorhynchus obsoletus"
"1485","Xiphorhynchus pardalotus"
"1486","Xolmis pyrope"
"1487","Cinclodes patagonicus"
"1488","Zosterops brunneus"
"1489","Motacilla cinerea"
"1490","Zenaida macroura"
"1491","Mecocerculus minor"
"1492","Pseudotriccus ruficeps"
"1493","Zosterops abyssinicus"
"1494","Colaptes melanochloros"
"1495","Pipilo chlorurus"
"1496","Schizoeaca helleri"
"1497","Basileuterus bivittatus"
"1498","Zosterops mauritianus"
"1499","Zosterops montanus"
