"","x"
"221","Amazilia viridicauda"
"222","Amphispiza bilineata"
"223","Anas crecca"
"224","Falco tinnunculus"
"225","Anas cyanoptera"
"226","Anas georgica"
"227","Creurgops verticalis"
"228","Dysithamnus mentalis"
"229","Anairetes parulus"
"230","Atlapetes latinuchus"
"231","Automolus ochrolaemus"
"232","Chalcostigma ruficeps"
"233","Coeligena torquata"
"234","Coeligena violifer"
"235","Hypocnemis peruviana"
"236","Lochmias nematura"
"237","Myadestes ralloides"
"238","Carduelis magellanica"
"239","Trichothraupis melanops"
"240","Turdus chiguanco"
"241","Anabacerthia striaticollis"
"242","Thamnophilus unicolor"
"243","Leptopogon taczanowskii"
"244","Saltator maximus"
"245","Antilophia galeata"
"246","Chiroxiphia caudata"
"247","Anisognathus flavinuchus"
"248","Crypturellus obsoletus"
"249","Anisognathus somptuosus"
"250","Cacicus uropygialis"
"251","Myrmotherula schisticolor"
"252","Platyrinchus mystaceus"
"253","Zonotrichia capensis"
"254","Anisognathus igniventris"
"255","Catamenia inornata"
"256","Oreotrochilus melanogaster"
"257","Phrygilus fruticeti"
"258","Phrygilus plebejus"
"259","Anisognathus lacrymosus"
"260","Tangara vassorii"
"261","Phaethornis malaris"
"262","Andropadus latirostris"
"263","Hirundo rustica"
"264","Phylloscopus trochilus"
"265","Turdus philomelos"
"266","Muscicapa striata"
"267","Catharus guttatus"
"268","Anser indicus"
"269","Phalacrocorax carbo"
"270","Tadorna ferruginea"
"271","Anthus campestris"
"272","Anthus hodgsoni"
"273","Anthus rubescens"
"274","Anthus trivialis"
"275","Aphelocoma californica"
"276","Aphelocoma woodhouseii"
"277","Cyanocitta stelleri"
"278","Poecile gambeli"
"279","Myiarchus cinerascens"
"280","Melospiza melodia"
"281","Catharus minimus"
"282","Aphrastura spinicauda"
"283","Diuca diuca"
"284","Aratinga jandaya"
"285","Phylloscopus trochiloides"
"286","Phylloscopus humei"
"287","Buarremon brunneinucha"
"288","Atlapetes melanocephalus"
"289","Synallaxis fuscorufa"
"290","Elaenia frantzii"
"291","Ochthoeca diadema"
"292","Henicorhina anachoreta"
"293","Catharus fuscater"
"294","Catamblyrhynchus diadema"
"295","Anisognathus melanogenys"
"296","Buarremon torquatus"
"297","Myioborus flavivertex"
"298","Atlapetes rufinucha"
"299","Chaetocercus mulsant"
"300","Cnemoscopus rubrirostris"
"301","Euphonia xanthogaster"
"302","Heliangelus amethysticollis"
"303","Heliangelus viola"
"304","Myioborus miniatus"
"305","Scytalopus unicolor"
"306","Turdus serranus"
"307","Arizelocichla tephrolaema"
"308","Arremon flavirostris"
"309","Megastictus margaritatus"
"310","Psarocolius bifasciatus"
"311","Vireo olivaceus"
"312","Tachyphonus rufus"
"313","Acrocephalus baeticatus"
"314","Sylvia atricapilla"
"315","Acrocephalus palustris"
"316","Pseudoscops clamator"
"317","Megascops choliba"
"318","Asio flammeus"
"319","Asio otus"
"320","Athene noctua"
"321","Asio stygius"
"322","Asthenes humilis"
"323","Cinclodes albiventris"
"324","Diuca speculifera"
"325","Atelornis crossleyi"
"326","Atelornis pittoides"
"327","Atlapetes seebohmi"
"328","Basileuterus trifasciatus"
"329","Diglossa sittoides"
"330","Silvicultrix jelskii"
"331","Atlapetes pileatus"
"332","Atlapetes schistaceus"
"333","Atlapetes pallidinucha"
